"INCP_2016","Total Personal Income - weekly","AGE","Age","SEX_ABS","Sex","STATE","State","REGIONTYPE","Geography Level","LGA_2016","Region","TIME","Census year","Value","Flag Codes","Flags"
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",3248,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","2016","2016",2560,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10250","Ballina (A)","2016","2016",2384,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","2016","2016",135,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","2016","2016",2980,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","2016","2016",1792,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","2016","2016",719,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","2016","2016",421,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","2016","2016",23289,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10800","Bland (A)","2016","2016",333,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","2016","2016",457,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","2016","2016",4769,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","2016","2016",167,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","2016","2016",2651,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11150","Bourke (A)","2016","2016",121,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11200","Brewarrina (A)","2016","2016",95,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11250","Broken Hill (C)","2016","2016",949,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11300","Burwood (A)","2016","2016",2156,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11350","Byron (A)","2016","2016",1607,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11400","Cabonne (A)","2016","2016",907,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11450","Camden (A)","2016","2016",5357,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11500","Campbelltown (C) (NSW)","2016","2016",10656,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11520","Canada Bay (A)","2016","2016",4009,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11570","Canterbury-Bankstown (A)","2016","2016",21865,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11600","Carrathool (A)","2016","2016",156,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","11650","Central Coast (C) (NSW)","2016","2016",19930,,
