Lat,Lng,Area,State Name,LGA Name,lga_code_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly
-29.0575678,152.0189859,"Tenterfield, New South Wales",New South Wales,Tenterfield (A),17400,53,1079,454,180,1015
0,0,"Sunshine Coast, Queensland",Queensland,Sunshine Coast (R),36720,43,1800,615,370,1491
0,0,"Launceston, Tasmania",Tasmania,Launceston (C),64010,39,1291,562,225,1362
-34.8651781,147.5805276,"Junee, New South Wales",New South Wales,Junee (A),14300,40,1200,600,200,1410
0,0,"Kowanyama, Queensland",Queensland,Kowanyama (S),34420,29,0,342,65,841
-32.7625409,147.1013188,"Lachlan, New South Wales",New South Wales,Lachlan (A),14600,40,900,556,150,1279
-33.379879,148.0066888,"Forbes, New South Wales",New South Wales,Forbes (A),12900,42,1148,571,180,1326
-30.983333,151.6,"Walcha, New South Wales",New South Wales,Walcha (A),17850,48,1083,577,148,1329
0,0,"Gympie, Queensland",Queensland,Gympie (R),33620,46,1300,479,250,1132
-33.1753246,148.8289611,"Cabonne, New South Wales",New South Wales,Cabonne (A),11400,43,1517,631,180,1618
0,0,"Menzies, Western Australia",Western Australia,Menzies (S),55390,38,0,776,100,928
0,0,"Carnarvon, Western Australia",Western Australia,Carnarvon (S),51540,39,1517,693,200,1604
-33.91643,151.23653,"Randwick, New South Wales",New South Wales,Randwick (C),16550,34,2600,834,550,2421
0,0,"Augusta-Margaret River, Western Australia",Western Australia,Augusta-Margaret River (S),50280,39,1733,671,300,1524
0,0,"Cunderdin, Western Australia",Western Australia,Cunderdin (S),52450,37,995,633,180,1648
-35.0566492,148.102061,"Gundagai, New South Wales",New South Wales,Gundagai (A),13510,47,1107,539,180,1280
-32.0224523,150.6749653,"Upper Hunter Shire, New South Wales",New South Wales,Upper Hunter Shire (A),17620,41,1688,630,220,1589
0,0,"Boroondara, Victoria",Victoria,Boroondara (C),21110,38,2500,869,406,2652
0,0,"Roxby Downs, South Australia",South Australia,Roxby Downs (M),46970,30,2000,1547,198,2760
-32.5018115,149.6564494,"Mid-Western Regional, New South Wales",New South Wales,Mid-Western Regional (A),15270,42,1690,547,270,1433
0,0,"Narrogin, Western Australia",Western Australia,Narrogin (S),56460,40,1200,635,220,1527
0,0,"Westonia, Western Australia",Western Australia,Westonia (S),59030,42,1019,1099,85,2071
0,0,"Isaac, Queensland",Queensland,Isaac (R),33980,32,1521,1030,90,2365
0,0,"Ashburton, Western Australia",Western Australia,Ashburton (S),50250,36,2000,2381,32,2889
0,0,"Tiwi Islands, Northern Territory",Northern Territory,Tiwi Islands (R),74050,30,0,248,50,644
0,0,"Walkerville, South Australia",South Australia,Walkerville (M),48260,44,2000,796,330,2326
-30.5512963,141.6834275,"Unincorporated NSW, New South Wales",New South Wales,Unincorporated NSW,19399,41,1083,717,110,1427
-32.2715998,143.045893,"Central Darling, New South Wales",New South Wales,Central Darling (A),11700,39,575,460,100,1075
0,0,"West Wimmera, Victoria",Victoria,West Wimmera (S),26890,48,657,555,80,1302
0,0,"Ballarat, Victoria",Victoria,Ballarat (C),20570,38,1350,590,250,1489
0,0,"Campbelltown, South Australia",South Australia,Campbelltown (C) (SA),40910,41,1690,588,300,1607
0,0,"McKinlay, Queensland",Queensland,McKinlay (S),34800,39,669,834,68,1537
-29.1737145,149.6564494,"Moree Plains, New South Wales",New South Wales,Moree Plains (A),15300,38,1300,669,170,1480
0,0,"West Coast, Tasmania",Tasmania,West Coast (M),65610,44,673,469,135,1258
0,0,"George Town, Tasmania",Tasmania,George Town (M),62210,46,1083,457,180,1087
-36.6806101,149.6564494,"Bega Valley, New South Wales",New South Wales,Bega Valley (A),10550,51,1343,538,250,1242
0,0,"Warrnambool, Victoria",Victoria,Warrnambool (C),26730,40,1430,618,250,1503
-34.5825321,150.7795452,"Shellharbour, New South Wales",New South Wales,Shellharbour (C),16900,39,1846,579,340,1562
0,0,"Douglas, Queensland",Queensland,Douglas (S),32810,43,1560,676,280,1460
0,0,"Renmark Paringa, South Australia",South Australia,Renmark Paringa (DC),46670,44,1083,550,175,1256
0,0,"Nillumbik, Victoria",Victoria,Nillumbik (S),25710,41,2000,784,369,2307
0,0,"Banyule, Victoria",Victoria,Banyule (C),20660,39,1950,728,350,2033
0,0,"East Gippsland, Victoria",Victoria,East Gippsland (S),22110,50,1293,506,220,1192
0,0,"Mornington, Queensland",Queensland,Mornington (S),35250,27,0,352,120,762
0,0,"Wyndham-East Kimberley, Western Australia",Western Australia,Wyndham-East Kimberley (S),59340,33,2167,864,196,1950
-33.70489999999999,151.09901,"Hornsby, New South Wales",New South Wales,Hornsby (A),14000,40,2400,793,500,2372
0,0,"Glenorchy, Tasmania",Tasmania,Glenorchy (C),62610,39,1300,561,250,1321
-30.090661,145.9381941,"Bourke, New South Wales",New South Wales,Bourke (A),11150,36,991,719,140,1562
-34.9445333,148.8289611,"Yass Valley, New South Wales",New South Wales,Yass Valley (A),18710,42,2000,869,300,2214
-29.7627514,151.1102815,"Inverell, New South Wales",New South Wales,Inverell (A),14200,42,1200,509,210,1181
-33.92092,150.92314,"Liverpool, New South Wales",New South Wales,Liverpool (C),14900,33,2123,584,370,1663
-31.2385626,152.6383524,"Mid-Coast, New South Wales",New South Wales,Mid-Coast (A),15240,52,1324,476,250,1108
0,0,"Pingelly, Western Australia",Western Australia,Pingelly (S),57140,50,1074,484,150,1112
-35.8894726,149.9334764,"Eurobodalla, New South Wales",New South Wales,Eurobodalla (A),12750,54,1400,512,255,1184
0,0,"Southern Midlands, Tasmania",Tasmania,Southern Midlands (M),65010,44,1192,533,170,1268
0,0,"Waroona, Western Australia",Western Australia,Waroona (S),58820,45,1636,558,250,1464
0,0,"Queenscliffe, Victoria",Victoria,Queenscliffe (B),26080,60,1623,671,300,1571
-34.054444,150.695833,"Camden, New South Wales",New South Wales,Camden (A),11450,33,2220,821,460,2161
0,0,"Claremont, Western Australia",Western Australia,Claremont (T),51750,43,2600,960,450,2989
-34.065,150.814167,"Campbelltown, New South Wales",New South Wales,Campbelltown (C) (NSW),11500,34,1842,632,350,1597
0,0,"Hobart, Tasmania",Tasmania,Hobart (C),62810,39,1647,718,290,2023
0,0,"Wudinna, South Australia",South Australia,Wudinna (DC),48640,42,800,672,120,1492
-31.0604769,152.8481977,"Kempsey, New South Wales",New South Wales,Kempsey (A),14350,47,1300,474,240,1107
-33.8071059,151.1993737,"Willoughby, New South Wales",New South Wales,Willoughby (C),18250,37,2877,946,580,2671
0,0,"Swan Hill, Victoria",Victoria,Swan Hill (RC),26610,40,1130,580,185,1358
0,0,"Glenelg, Victoria",Victoria,Glenelg (S),22410,47,1083,536,182,1362
0,0,"Yorke Peninsula, South Australia",South Australia,Yorke Peninsula (DC),48830,55,1000,483,180,1124
-32.7684603,151.8409214,"Port Stephens, New South Wales",New South Wales,Port Stephens (A),16400,45,1733,571,305,1431
-28.8093154,153.2882876,"Lismore, New South Wales",New South Wales,Lismore (C),14850,43,1430,550,260,1351
0,0,"Livingstone, Queensland",Queensland,Livingstone (S),34530,42,1875,618,300,1597
0,0,"Kalgoorlie/Boulder, Western Australia",Western Australia,Kalgoorlie/Boulder (C),54280,33,1800,974,290,2377
0,0,"Hindmarsh, Victoria",Victoria,Hindmarsh (S),22980,50,780,497,140,1217
0,0,"Rockingham, Western Australia",Western Australia,Rockingham (C),57490,34,1950,682,350,1812
0,0,"Hope Vale, Queensland",Queensland,Hope Vale (S),33830,26,1215,321,110,759
0,0,"South Burnett, Queensland",Queensland,South Burnett (R),36630,45,1159,478,220,1143
0,0,"Moora, Western Australia",Western Australia,Moora (S),55600,41,1100,707,166,1760
0,0,"Lockhart River, Queensland",Queensland,Lockhart River (S),34570,26,0,332,109,810
-33.0311225,151.5603244,"Lake Macquarie, New South Wales",New South Wales,Lake Macquarie (C),14650,42,1733,609,320,1610
0,0,"Gnowangerup, Western Australia",Western Australia,Gnowangerup (S),53640,40,774,759,130,1676
0,0,"Clarence, Tasmania",Tasmania,Clarence (C),61410,43,1452,673,265,1644
0,0,"Port Augusta, South Australia",South Australia,Port Augusta (C),46090,39,1213,604,180,1370
0,0,"Yilgarn, Western Australia",Western Australia,Yilgarn (S),59360,45,790,861,120,1807
0,0,"Light, South Australia",South Australia,Light (RegC),43650,39,1452,669,250,1715
-30.9496074,148.3810811,"Coonamble, New South Wales",New South Wales,Coonamble (A),12150,43,867,519,150,1218
0,0,"Beverley, Western Australia",Western Australia,Beverley (S),50560,53,1170,532,150,1264
0,0,"Waratah/Wynyard, Tasmania",Tasmania,Waratah/Wynyard (M),65410,46,1170,498,200,1247
0,0,"Barcaldine, Queensland",Queensland,Barcaldine (R),30410,42,1040,684,100,1514
-30.0267969,148.1231039,"Walgett, New South Wales",New South Wales,Walgett (A),17900,43,750,464,145,1039
0,0,"Colac-Otway, Victoria",Victoria,Colac-Otway (S),21750,45,1300,574,210,1362
